i,K,obj_val,grad_sq_norm
0.0,1.0,58.790540329646284,429.83404143227375
1.0,1.0,48.413562585077486,401.6423596053479
2.0,1.0,51.094207034299224,343.7400731425011
3.0,1.0,42.38828533682119,304.2218160464313
4.0,1.0,54.98082870294097,420.6267860302146
5.0,1.0,55.17745155220104,438.91144638141265
6.0,1.0,51.6378400321071,421.81408834183486
7.0,1.0,50.38656283602807,417.5412804164227
8.0,1.0,52.82399335671957,357.9848212019923
9.0,1.0,51.16347772958195,362.788793328845
10.0,1.0,49.182614315990705,367.377718649816
11.0,1.0,56.823797490353925,454.67955801993236
12.0,1.0,55.3436983364469,434.9118303405459
13.0,1.0,50.89715882157682,420.0946462432494
14.0,1.0,47.04311005747869,361.0812253211508
15.0,1.0,48.33458954576294,357.49515095506143
16.0,1.0,49.79116325797417,338.52697896013666
17.0,1.0,54.15587999635077,377.16846105114536
18.0,1.0,55.01401805245239,438.4706415577335
19.0,1.0,54.391875996173574,436.82900208332603
20.0,1.0,51.420620215417664,376.3630652572372
21.0,1.0,54.35990146299525,420.43337592970107
22.0,1.0,56.80835233944811,400.3498949316579
23.0,1.0,47.95964980398519,352.96786200912294
24.0,1.0,54.03128166219263,378.2218877563385
25.0,1.0,51.49449103215152,388.5942328899358
26.0,1.0,51.026244694683086,361.0461844178475
27.0,1.0,50.23613600071128,403.5942729442675
28.0,1.0,52.60999919765016,389.28516035155667
29.0,1.0,54.27168316121907,407.6495227587924
30.0,1.0,49.657206925518125,355.5507658225816
31.0,1.0,53.389585933571674,385.49631990178074
32.0,1.0,57.29272302503262,381.6021056430463
33.0,1.0,50.93101432648348,353.4077214491448
34.0,1.0,53.17524497889739,381.18347742786773
35.0,1.0,56.63687229200558,454.5605020774128
36.0,1.0,52.24485800317386,395.65927548116326
37.0,1.0,59.594262353506934,411.9756981301182
38.0,1.0,47.53717399477168,362.156900962584
39.0,1.0,47.15466882489105,380.50140956318324
40.0,1.0,53.17155289309119,382.88152283348046
41.0,1.0,54.60490796267885,396.4247667683805
42.0,1.0,54.21425693789167,386.73577565438
43.0,1.0,51.89918378091172,396.5867724884078
44.0,1.0,59.21261816110401,422.538741309187
45.0,1.0,50.993424164164125,351.3946120161642
46.0,1.0,48.27542968822116,385.5757647992099
47.0,1.0,52.594641249011495,406.5922096074622
48.0,1.0,52.68032095079104,386.3309908057716
49.0,1.0,54.51112720472764,414.349946741706
50.0,1.0,50.49448689057058,388.805973593553
51.0,1.0,51.58424759132988,415.20062408602655
52.0,1.0,57.90837373799932,411.9308380518053
53.0,1.0,59.77009191458738,442.12078666256014
54.0,1.0,52.64369248189275,413.39530457238544
55.0,1.0,54.35418492995781,404.1771502448061
56.0,1.0,54.207688737437685,372.85710645801953
57.0,1.0,54.17855624298805,440.213950647088
58.0,1.0,55.32594172982036,389.4220924164589
59.0,1.0,53.14178230422122,370.091282170629
60.0,1.0,60.61467093201685,434.27316646038145
61.0,1.0,48.472109443411036,380.6214447676805
62.0,1.0,54.62061265344267,387.5886542639917
63.0,1.0,53.40012130450231,392.8390731917783
64.0,1.0,51.12569011621754,384.6259786383886
65.0,1.0,52.702072054179645,409.96534204817317
66.0,1.0,51.583920556226104,357.5015496547816
67.0,1.0,53.589576848335554,368.5078040247438
68.0,1.0,57.31299639289672,403.31303982366626
69.0,1.0,47.51963463576385,342.6185101762154
70.0,1.0,49.70798377795416,383.70390772613496
71.0,1.0,57.084549860786716,395.7054782281701
72.0,1.0,51.73910606190961,405.9252543746876
73.0,1.0,53.58298544696885,400.23578803160245
74.0,1.0,51.92840786628835,400.33827395171323
75.0,1.0,56.02319570207125,435.5173582485094
76.0,1.0,55.45388723571274,407.0152556893222
77.0,1.0,50.311198668141394,350.10762642338904
78.0,1.0,56.2110244384589,386.27944807494555
79.0,1.0,48.0120676873443,362.1755658413947
80.0,1.0,51.557277990505455,393.4970395321542
81.0,1.0,50.606237976046316,408.9940131805216
82.0,1.0,45.23445728178676,324.48130978679876
83.0,1.0,54.79695425014321,377.170839045287
84.0,1.0,53.57618306442637,370.0938013091517
85.0,1.0,51.972762058341615,332.9511481800923
86.0,1.0,54.172383109881196,393.72337725203874
87.0,1.0,56.51166033616909,388.68357987654895
88.0,1.0,54.051546108111225,428.16497803308073
89.0,1.0,55.03821307007441,383.9912339085777
90.0,1.0,49.808086694017234,337.6234850103854
91.0,1.0,56.93839021614969,394.6246329600912
92.0,1.0,51.75786955028403,418.5036082865352
93.0,1.0,53.378759204475415,412.04632366726366
94.0,1.0,44.47706846739071,359.25305420101984
95.0,1.0,54.03272002155837,382.25277955874026
96.0,1.0,51.05098710859967,406.3384668311338
97.0,1.0,57.4710464014961,395.54381086143064
98.0,1.0,57.11444502094116,407.1165997505953
99.0,1.0,45.819248632649376,367.51241970772713
0.0,2.0,17.348344008363362,110.05985700011635
1.0,2.0,20.412054963985877,122.68970947465094
2.0,2.0,19.3376837654587,120.98586841975957
3.0,2.0,26.14311915837217,161.0783442571782
4.0,2.0,21.239675144120447,118.33260672677797
5.0,2.0,20.83193948874785,117.99947106874554
6.0,2.0,24.56519832885133,139.83099549869516
7.0,2.0,21.746378655613054,120.99203382421803
8.0,2.0,17.733394348913023,118.72237771514459
9.0,2.0,26.169433201047237,141.44294154527944
10.0,2.0,22.945746306679258,128.18004190049768
11.0,2.0,19.016260319800733,119.4029330506869
12.0,2.0,22.300706573678948,124.70326096033759
13.0,2.0,22.481552917991433,140.23285851186836
14.0,2.0,20.469839491569623,115.21091433327769
15.0,2.0,21.760253545665112,141.16763970485843
16.0,2.0,21.48343025965093,127.36095034172155
17.0,2.0,20.218833361463062,118.52620882999567
18.0,2.0,25.963362388726075,135.73696023110162
19.0,2.0,21.447762755656,121.86172018274495
20.0,2.0,26.28935931608849,150.78161111328404
21.0,2.0,19.589499309802147,133.62056959619736
22.0,2.0,19.54781799682724,126.74242193320067
23.0,2.0,21.91732750164753,132.7928284863518
24.0,2.0,17.673438214184728,112.28766617538678
25.0,2.0,23.419704406588263,130.77965952608508
26.0,2.0,24.231876767247268,140.5414228543685
27.0,2.0,22.239330467050593,142.7806887608766
28.0,2.0,22.982891985660586,133.69977720437342
29.0,2.0,22.088101124283305,136.37805247481876
30.0,2.0,22.174553462991845,125.10650065795915
31.0,2.0,27.862878872371198,151.38006772092038
32.0,2.0,22.257741508428314,127.12223894572082
33.0,2.0,23.444001709623336,144.89151734098394
34.0,2.0,23.26285198315178,141.11247143306653
35.0,2.0,20.75158933906794,127.78471714208136
36.0,2.0,20.642334513635813,123.09724897578819
37.0,2.0,23.060360072390896,119.9077081359178
38.0,2.0,19.047024876693666,115.34938510300884
39.0,2.0,27.848261563324712,153.4150512567888
40.0,2.0,23.20751945061687,124.60235656194199
